Date,Store,Series,UnitsSold,UnitPrice,SalesAmount
2024/1/1,New York,Luka,17,124.89,2123.13
2024/1/1,New York,Jordan,5,147.45,737.25
2024/1/1,New York,LeBron,1,141.64,141.64
2024/1/1,New York,KD,5,120.36,601.8
2024/1/1,New York,Kyrie,9,121.56,1094.04
2024/1/1,Los Angeles,Luka,8,129.44,1035.52
2024/1/1,Los Angeles,Jordan,20,141.9,2838
2024/1/1,Los Angeles,LeBron,4,134.95,539.8
2024/1/1,Los Angeles,KD,2,134.21,268.42
2024/1/1,Los Angeles,Kyrie,5,117.59,587.95
2024/1/1,Chicago,Luka,14,114.24,1599.36
2024/1/1,Chicago,Jordan,11,150.26,1652.86
2024/1/1,Chicago,LeBron,4,136.9,547.6
2024/1/1,Chicago,KD,7,134.25,939.75
2024/1/1,Chicago,Kyrie,5,115.84,579.2
2024/1/1,Houston,Luka,3,120.71,362.13
2024/1/1,Houston,Jordan,18,147.82,2660.76
2024/1/1,Houston,LeBron,0,131.8,0
2024/1/1,Houston,KD,18,134.07,2413.26
2024/1/1,Houston,Kyrie,16,118.49,1895.84
2024/1/1,Miami,Luka,8,114.73,917.84
2024/1/1,Miami,Jordan,4,159.73,638.92
2024/1/1,Miami,LeBron,9,142.21,1279.89
2024/1/1,Miami,KD,12,129.02,1548.24
2024/1/1,Miami,Kyrie,9,116.63,1049.67
2024/1/2,New York,Luka,16,113.99,1823.84
2024/1/2,New York,Jordan,19,155.48,2954.12
2024/1/2,New York,LeBron,10,141.76,1417.6
2024/1/2,New York,KD,14,138.14,1933.96
2024/1/2,New York,Kyrie,16,131.02,2096.32
2024/1/2,Los Angeles,Luka,3,127.7,383.1
2024/1/2,Los Angeles,Jordan,20,154.97,3099.4
2024/1/2,Los Angeles,LeBron,13,133.19,1731.47
2024/1/2,Los Angeles,KD,14,135.02,1890.28
2024/1/2,Los Angeles,Kyrie,11,125.02,1375.22
2024/1/2,Chicago,Luka,6,121.18,727.08
2024/1/2,Chicago,Jordan,6,146.25,877.5
2024/1/2,Chicago,LeBron,2,141.98,283.96
2024/1/2,Chicago,KD,10,133.86,1338.6
2024/1/2,Chicago,Kyrie,9,119.27,1073.43
2024/1/2,Houston,Luka,9,116.29,1046.61
2024/1/2,Houston,Jordan,9,142.01,1278.09
2024/1/2,Houston,LeBron,7,131.44,920.08
2024/1/2,Houston,KD,1,129.38,129.38
2024/1/2,Houston,Kyrie,8,126.05,1008.4
2024/1/2,Miami,Luka,11,127.06,1397.66
2024/1/2,Miami,Jordan,6,145.76,874.56
2024/1/2,Miami,LeBron,3,145.25,435.75
